00:34:32:677.857   Line: 256/16, intID = 0
00:34:32:678.923   Line: 272/17, intID = 0
00:34:32:679.993   Line: 288/18, intID = 0
00:34:32:681.059   Line: 304/19, intID = 0
00:34:32:682.127   Line: 320/20, intID = 0
00:34:32:683.199   Line: 336/21, intID = 0
00:34:32:684.263   Line: 352/22, intID = 0
00:34:32:685.330   Line: 368/23, intID = 0
00:34:32:686.396   Line: 384/24, intID = 0
00:34:32:687.465   Line: 400/25, intID = 0
00:34:32:688.531   Line: 416/26, intID = 0
00:34:32:689.598   Line: 432/27, intID = 0
00:34:32:690.666   Line: 448/28, intID = 0
00:34:32:691.735   Line: 464/29, intID = 0
00:34:32:692.801   Line: 480/30, intID = 0
00:34:32:693.869   Line: 496/31, intID = 0
00:34:32:694.935   Line: 512/32, intID = 0
00:34:32:696.004   Line: 016/1, intID = 0

00:34:32:697.070   Line: 032/2, intID = 0
00:34:32:698.134   Line: 048/3, intID = 0
00:34:32:699.206   Line: 064/4, intID = 0
00:34:32:700.276   Line: 080/5, intID = 0
00:34:32:701.343   Line: 096/6, intID = 0
00:34:32:702.414   Line: 112/7, intID = 0
00:34:32:703.476   Line: 128/8, intID = 0
00:34:32:704.544   Line: 144/9, intID = 0
00:34:32:705.640   Line: 160/10, intID = 0
00:34:32:706.691   Line: 176/11, intID = 0
00:34:32:707.748   Line: 192/12, intID = 0
00:34:32:708.817   Line: 208/13, intID = 0
00:34:32:709.882   Line: 224/14, intID = 0
00:34:32:710.948   Line: 240/15, intID = 0
00:34:32:712.017   Line: 256/16, intID = 0
00:34:32:713.083   Line: 272/17, intID = 0
00:34:32:714.150   Line: 288/18, intID = 0
00:34:32:715.218   Line: 304/19, intID = 0
00:34:32:716.287   Line: 320/20, intID = 0
00:34:32:717.353   Line: 336/21, intID = 0
00:34:32:718.420   Line: 352/22, intID = 0
00:34:32:719.489   Line: 368/23, intID = 0
00:34:32:720.557   Line: 384/24, intID = 0
00:34:32:721.624   Line: 400/25, intID = 0
00:34:32:722.691   Line: 416/26, intID = 0
00:34:32:723.764   Line: 432/27, intID = 0
00:34:32:724.833   Line: 448/28, intID = 0
00:34:32:725.900   Line: 464/29, intID = 0
00:34:32:726.964   Line: 480/30, intID = 0
00:34:32:728.033   Line: 496/31, intID = 0
00:34:32:729.103   Line: 512/32, intID = 0
00:34:32:730.156   Line: 016/1, intID = 0

00:34:32:731.229   Line: 032/2, intID = 0
00:34:32:732.295   Line: 048/3, intID = 0
00:34:32:733.389   Line: 064/4, intID = 0
00:34:32:734.436   Line: 080/5, intID = 0
00:34:32:735.502   Line: 096/6, intID = 0
00:34:32:736.574   Line: 112/7, intID = 0
00:34:32:737.641   Line: 128/8, intID = 0
00:34:32:738.705   Line: 144/9, intID = 0
00:34:32:739.771   Line: 160/10, intID = 0
00:34:32:740.840   Line: 176/11, intID = 0
00:34:32:741.908   Line: 192/12, intID = 0
00:34:32:742.974   Line: 208/13, intID = 0
00:34:32:744.041   Line: 224/14, intID = 0
00:34:32:745.108   Line: 240/15, intID = 0
00:34:32:746.177   Line: 256/16, intID = 0
00:34:32:747.243   Line: 272/17, intID = 0
00:34:32:748.310   Line: 288/18, intID = 0
00:34:32:749.378   Line: 304/19, intID = 0
00:34:32:750.447   Line: 320/20, intID = 0
00:34:32:751.514   Line: 336/21, intID = 0
00:34:32:752.580   Line: 352/22, intID = 0
00:34:32:753.648   Line: 368/23, intID = 0
00:34:32:754.718   Line: 384/24, intID = 0
00:34:32:755.785   Line: 400/25, intID = 0
00:34:32:756.851   Line: 416/26, intID = 0
00:34:32:757.918   Line: 432/27, intID = 0
00:34:32:758.988   Line: 448/28, intID = 0
00:34:32:760.053   Line: 464/29, intID = 0
00:34:32:761.119   Line: 480/30, intID = 0
00:34:32:762.188   Line: 496/31, intID = 0
00:34:32:763.257   Line: 512/32, intID = 0
00:34:32:764.323   Line: 016/1, intID = 0

00:34:32:765.386   Line: 032/2, intID = 0
00:34:32:766.451   Line: 048/3, intID = 0
00:34:32:767.527   Line: 064/4, intID = 0
00:34:32:768.594   Line: 080/5, intID = 0
00:34:32:769.667   Line: 096/6, intID = 0
00:34:32:770.728   Line: 112/7, intID = 0
00:34:32:771.803   Line: 128/8, intID = 0
00:34:32:772.866   Line: 144/9, intID = 0
00:34:32:773.931   Line: 160/10, intID = 0
00:34:32:774.997   Line: 176/11, intID = 0
00:34:32:776.067   Line: 192/12, intID = 0
00:34:32:777.133   Line: 208/13, intID = 0
00:34:32:778.200   Line: 224/14, intID = 0
00:34:32:779.268   Line: 240/15, intID = 0
00:34:32:780.337   Line: 256/16, intID = 0
00:34:32:781.403   Line: 272/17, intID = 0
00:34:32:782.470   Line: 288/18, intID = 0
00:34:32:783.537   Line: 304/19, intID = 0
00:34:32:784.607   Line: 320/20, intID = 0
00:34:32:785.674   Line: 336/21, intID = 0
00:34:32:786.742   Line: 352/22, intID = 0
00:34:32:787.807   Line: 368/23, intID = 0
00:34:32:788.877   Line: 384/24, intID = 0
00:34:32:789.946   Line: 400/25, intID = 0
00:34:32:791.009   Line: 416/26, intID = 0
00:34:32:792.078   Line: 432/27, intID = 0
00:34:32:793.147   Line: 448/28, intID = 0
00:34:32:794.213   Line: 464/29, intID = 0
00:34:32:795.280   Line: 480/30, intID = 0
00:34:32:796.348   Line: 496/31, intID = 0
00:34:32:797.417   Line: 512/32, intID = 0
00:34:32:798.483   Line: 016/1, intID = 0

00:34:32:799.546   Line: 032/2, intID = 0
00:34:32:800.611   Line: 048/3, intID = 0
00:34:32:801.688   Line: 064/4, intID = 0
00:34:32:802.754   Line: 080/5, intID = 0
00:34:32:803.826   Line: 096/6, intID = 0
00:34:32:804.888   Line: 112/7, intID = 0
00:34:32:805.957   Line: 128/8, intID = 0
00:34:32:807.030   Line: 144/9, intID = 0
00:34:32:808.094   Line: 160/10, intID = 0
00:34:32:809.157   Line: 176/11, intID = 0
00:34:32:810.227   Line: 192/12, intID = 0
00:34:32:811.293   Line: 208/13, intID = 0
00:34:32:812.360   Line: 224/14, intID = 0
00:34:32:813.428   Line: 240/15, intID = 0
00:34:32:814.497   Line: 256/16, intID = 0
00:34:32:815.563   Line: 272/17, intID = 0
00:34:32:816.630   Line: 288/18, intID = 0
00:34:32:817.700   Line: 304/19, intID = 0
00:34:32:818.766   Line: 320/20, intID = 0
00:34:32:819.832   Line: 336/21, intID = 0
00:34:32:820.900   Line: 352/22, intID = 0
00:34:32:821.969   Line: 368/23, intID = 0
00:34:32:823.035   Line: 384/24, intID = 0
00:34:32:824.102   Line: 400/25, intID = 0
00:34:32:825.171   Line: 416/26, intID = 0
00:34:32:826.239   Line: 432/27, intID = 0
00:34:32:827.305   Line: 448/28, intID = 0
00:34:32:828.372   Line: 464/29, intID = 0
00:34:32:829.440   Line: 480/30, intID = 0
00:34:32:830.509   Line: 496/31, intID = 0
00:34:32:831.576   Line: 512/32, intID = 0
00:34:32:832.639   Line: 016/1, intID = 0

00:34:32:833.708   Line: 032/2, intID = 0
00:34:32:834.780   Line: 048/3, intID = 0
00:34:32:835.851   Line: 064/4, intID = 0
00:34:32:836.919   Line: 080/5, intID = 0
00:34:32:837.984   Line: 096/6, intID = 0
00:34:32:839.051   Line: 112/7, intID = 0
00:34:32:840.116   Line: 128/8, intID = 0
00:34:32:841.182   Line: 144/9, intID = 0
00:34:32:842.251   Line: 160/10, intID = 0
00:34:32:843.321   Line: 176/11, intID = 0
00:34:32:844.385   Line: 192/12, intID = 0
00:34:32:845.452   Line: 208/13, intID = 0
00:34:32:846.520   Line: 224/14, intID = 0
00:34:32:847.589   Line: 240/15, intID = 0
00:34:32:848.656   Line: 256/16, intID = 0
00:34:32:849.726   Line: 272/17, intID = 0
00:34:32:850.796   Line: 288/18, intID = 0
00:34:32:851.859   Line: 304/19, intID = 0
00:34:32:852.928   Line: 320/20, intID = 0
00:34:32:853.992   Line: 336/21, intID = 0
00:34:32:855.061   Line: 352/22, intID = 0
00:34:32:856.127   Line: 368/23, intID = 0
00:34:32:857.195   Line: 384/24, intID = 0
00:34:32:858.264   Line: 400/25, intID = 0
00:34:32:859.331   Line: 416/26, intID = 0
00:34:32:860.400   Line: 432/27, intID = 0
00:34:32:861.465   Line: 448/28, intID = 0
00:34:32:862.534   Line: 464/29, intID = 0
00:34:32:863.600   Line: 480/30, intID = 0
00:34:32:864.667   Line: 496/31, intID = 0
00:34:32:865.742   Line: 512/32, intID = 0
00:34:32:866.804   Line: 016/1, intID = 0

00:34:32:867.865   Line: 032/2, intID = 0
00:34:32:868.931   Line: 048/3, intID = 0
00:34:32:870.007   Line: 064/4, intID = 0
00:34:32:871.073   Line: 080/5, intID = 0
00:34:32:872.145   Line: 096/6, intID = 0
00:34:32:873.229   Line: 112/7, intID = 0
00:34:32:874.277   Line: 128/8, intID = 0
00:34:32:875.344   Line: 144/9, intID = 0
00:34:32:876.411   Line: 160/10, intID = 0
00:34:32:877.483   Line: 176/11, intID = 0
00:34:32:878.547   Line: 192/12, intID = 0
00:34:32:879.612   Line: 208/13, intID = 0
00:34:32:880.681   Line: 224/14, intID = 0
00:34:32:881.750   Line: 240/15, intID = 0
00:34:32:882.815   Line: 256/16, intID = 0
00:34:32:883.886   Line: 272/17, intID = 0
00:34:32:884.950   Line: 288/18, intID = 0
00:34:32:886.017   Line: 304/19, intID = 0
00:34:32:887.084   Line: 320/20, intID = 0
00:34:32:888.154   Line: 336/21, intID = 0
00:34:32:889.220   Line: 352/22, intID = 0
00:34:32:890.287   Line: 368/23, intID = 0
00:34:32:891.355   Line: 384/24, intID = 0
00:34:32:892.424   Line: 400/25, intID = 0
00:34:32:893.490   Line: 416/26, intID = 0
00:34:32:894.556   Line: 432/27, intID = 0
00:34:32:895.626   Line: 448/28, intID = 0
00:34:32:896.694   Line: 464/29, intID = 0
00:34:32:897.760   Line: 480/30, intID = 0
00:34:32:898.827   Line: 496/31, intID = 0
00:34:32:899.900   Line: 512/32, intID = 0
00:34:32:900.963   Line: 016/1, intID = 0

00:34:32:902.025   Line: 032/2, intID = 0
00:34:32:903.091   Line: 048/3, intID = 0
00:34:32:904.167   Line: 064/4, intID = 0
00:34:32:905.773   Line: 080/5, intID = 0
00:34:32:906.300   Line: 096/6, intID = 0
00:34:32:907.370   Line: 112/7, intID = 0
00:34:32:908.437   Line: 128/8, intID = 0
00:34:32:909.503   Line: 144/9, intID = 0
00:34:32:910.571   Line: 160/10, intID = 0
00:34:32:911.638   Line: 176/11, intID = 0
00:34:32:912.711   Line: 192/12, intID = 0
00:34:32:913.778   Line: 208/13, intID = 0
00:34:32:914.842   Line: 224/14, intID = 0
00:34:32:915.910   Line: 240/15, intID = 0
00:34:32:916.975   Line: 256/16, intID = 0
00:34:32:918.042   Line: 272/17, intID = 0
00:34:32:919.111   Line: 288/18, intID = 0
00:34:32:920.177   Line: 304/19, intID = 0
00:34:32:921.244   Line: 320/20, intID = 0
00:34:32:922.312   Line: 336/21, intID = 0
00:34:32:923.381   Line: 352/22, intID = 0
00:34:32:924.447   Line: 368/23, intID = 0
00:34:32:925.517   Line: 384/24, intID = 0
00:34:32:926.583   Line: 400/25, intID = 0
00:34:32:927.650   Line: 416/26, intID = 0
00:34:32:928.717   Line: 432/27, intID = 0
00:34:32:929.787   Line: 448/28, intID = 0
00:34:32:930.856   Line: 464/29, intID = 0
00:34:32:931.919   Line: 480/30, intID = 0
00:34:32:932.987   Line: 496/31, intID = 0
00:34:32:934.056   Line: 512/32, intID = 0
00:34:32:935.122   Line: 016/1, intID = 0

00:34:32:936.185   Line: 032/2, intID = 0
00:34:32:937.250   Line: 048/3, intID = 0
00:34:32:938.327   Line: 064/4, intID = 0
00:34:32:939.393   Line: 080/5, intID = 0
00:34:32:940.466   Line: 096/6, intID = 0
